"year","GOA.ar1","EBS.ar1","member","model"
1972,0.438721870809819,-0.148839225203528,"LE2-1301.017","FCM"
1973,0.454293543991371,-0.15665054619283,"LE2-1301.017","FCM"
1974,0.370698032326121,-0.0535269599647844,"LE2-1301.017","FCM"
1975,0.463203359852845,0.224207462113483,"LE2-1301.017","FCM"
1976,0.491184489783556,0.400285128024586,"LE2-1301.017","FCM"
1977,0.510921312508128,0.389314109637145,"LE2-1301.017","FCM"
1978,0.50575314041506,0.279900686057702,"LE2-1301.017","FCM"
1979,0.464135031324956,0.273525012262681,"LE2-1301.017","FCM"
1980,0.50340416165924,0.333975146716701,"LE2-1301.017","FCM"
1981,0.348455588088344,0.334959735336637,"LE2-1301.017","FCM"
1982,0.170497249757456,0.322104107410556,"LE2-1301.017","FCM"
1983,0.216125156715577,0.393244393508736,"LE2-1301.017","FCM"
1984,0.213850467151496,0.577334474479256,"LE2-1301.017","FCM"
1985,0.22121368337465,0.530420064042464,"LE2-1301.017","FCM"
1986,0.20102687680043,0.526095806622336,"LE2-1301.017","FCM"
1987,0.29685700175809,0.557573855653388,"LE2-1301.017","FCM"
1988,0.37933955061005,0.499097253745318,"LE2-1301.017","FCM"
1989,0.377965669969731,0.467659691389287,"LE2-1301.017","FCM"
1990,0.320802211452289,0.365955644386666,"LE2-1301.017","FCM"
1991,0.342457353371556,0.459823872098556,"LE2-1301.017","FCM"
1992,0.407662606366873,0.448597763315276,"LE2-1301.017","FCM"
1993,0.520094617235536,0.536451256485623,"LE2-1301.017","FCM"
1994,0.467117345836051,0.575576809822447,"LE2-1301.017","FCM"
1995,0.692955678841776,0.576571031150106,"LE2-1301.017","FCM"
1996,0.684201305987334,0.626585707757717,"LE2-1301.017","FCM"
1997,0.653969595729057,0.631391778147343,"LE2-1301.017","FCM"
1998,0.683847103414446,0.618263788420458,"LE2-1301.017","FCM"
1999,0.676909968579418,0.53292174487913,"LE2-1301.017","FCM"
2000,0.609163230141719,0.368972004200077,"LE2-1301.017","FCM"
2001,0.544216722490784,0.211066408125642,"LE2-1301.017","FCM"
2002,0.509251109676312,0.308611610536604,"LE2-1301.017","FCM"
2003,0.366637054281911,0.307469863785092,"LE2-1301.017","FCM"
2004,0.162583679081558,0.115179178671555,"LE2-1301.017","FCM"
2005,0.347423099690281,-0.0973398918523041,"LE2-1301.017","FCM"
2006,0.355978362159916,0.0927829983380705,"LE2-1301.017","FCM"
2007,0.271126992406811,-0.238799165069274,"LE2-1301.017","FCM"
